average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
1.879272,5.487042168776194e-08,8.909,1.7895576357841492,nan,nan,nan,nan,0.46690971497594014,188,24,1.0,256,256
1.9043821,4.10169983903567e-08,8.833652,1.035413353703916,420.0,26.0,420.0,29.0,0.5176972795696387,196,48,2.0,512,512
1.8405215,2.623225251833598e-08,9.323684,0.7288594579117166,420.0,26.0,420.0,29.0,0.5321303439982217,194,72,3.0,768,768
1.8096277,3.2324654360612236e-08,9.372906,0.6140378057025373,420.0,24.5,420.0,25.5,0.4164618551423126,192,96,4.0,1024,1024
1.8014884,0.001084060352295637,9.525417,0.6280302847921848,412.6666666666667,19.333334,420.0,25.333334,0.1077206418675074,193,120,5.0,1280,1280
1.7558957,0.0007145991362631321,9.854485,0.5083739790320396,412.6666666666667,19.333334,420.0,25.333334,0.770578532952112,195,144,6.0,1536,1536
1.792048,-0.0014742092043161393,9.79673,0.4918692259863019,414.5,22.0,401.5,22.25,0.40153294922513083,193,168,7.0,1792,1792
1.8120017,0.001811557300388813,9.7979355,0.44275213316082956,414.5,22.0,405.2,24.4,0.537977841495956,192,192,8.0,2048,2048
1.7775986,0.0019274771958589553,9.381562,0.32181796699762344,359.8333333333333,19.666666,405.2,24.4,0.8471504747815453,193,216,9.0,2304,2304
1.8551917,-0.002959925979375839,8.953343,0.24723843168467283,359.8333333333333,19.666666,388.1666666666667,21.0,0.7234395112895047,193,240,10.0,2560,2560
1.8058968,0.00019227396696805955,8.897692,0.24809846974909305,368.42857142857144,21.285715,392.7142857142857,21.142857,-0.08406192419910985,193,264,11.0,2816,2816
