average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.002095823253815373,-0.04102913,0.23522707695762315,72.0,-2.56,75.04545454545455,-3.1363637,-6.439706057315142e-05,798,24,1.0,256,2048
2.705436,-0.0015399745316244662,-0.20253885,0.19497211494793495,75.25490196078431,-2.235294,79.0,-2.3877552,-0.034559143744471,826,48,2.0,512,4096
2.7059014,-0.0021226019081142214,-0.1618023,0.2000739528901047,76.34246575342466,-2.0958905,80.12857142857143,-3.0,0.016198627606905713,825,72,3.0,768,6144
2.700061,-0.002169738543064644,-0.2390273,0.17762068550412854,79.85858585858585,-2.090909,84.74725274725274,-3.0769231,0.056631232701937706,820,96,4.0,1024,8192
2.7028584,-0.00314203841611743,-0.21663907,0.16557556360960007,82.28,-2.09,86.54,-2.99,0.13698393533488618,818,120,5.0,1280,10240
2.691649,-0.006368745528161526,-0.24635401,0.15615571714937687,87.2,-2.05,86.84,-2.89,0.1848568394036838,819,144,6.0,1536,12288
2.671348,-0.005077144373208284,-0.3122168,0.13478725768625735,85.92,-2.15,86.94,-2.64,0.22892119694990198,823,168,7.0,1792,14336
2.6447473,-0.007576771313324571,-0.35628682,0.13194928586483,86.16,-1.9,83.95,-2.42,0.3105269826905298,824,192,8.0,2048,16384
2.6605844,-0.008163423994556069,-0.3540583,0.12227662913501262,83.26,-1.56,83.93,-2.01,0.2979870349568918,820,216,9.0,2304,18432
2.678045,-0.007890660827979446,-0.26829872,0.11872913129627705,83.18,-1.33,86.22,-1.94,0.1774130701267952,818,240,10.0,2560,20480
2.6710525,-0.008465013224631548,-0.2465325,0.12470394909381867,84.79,-1.56,84.54,-1.6,0.33181641408097673,815,264,11.0,2816,22528
2.6719027,-0.008654169011861087,-0.23855865,0.12320363186299801,82.74,-1.57,84.85,-1.68,0.35744272296091906,812,288,12.0,3072,24576
2.6716914,-0.011002476895228028,-0.29647842,0.119441087692976,86.62,-1.67,85.88,-1.78,0.23257005590417856,818,312,13.0,3328,26624
2.6657717,-0.013183508655056358,-0.2562151,0.12166294783353805,87.51,-1.91,85.61,-1.55,0.4071677707145044,821,336,14.0,3584,28672
2.6414595,-0.013993097972124814,-0.23993392,0.1165342878550291,82.81,-1.63,85.99,-2.06,0.3017400687747147,821,360,15.0,3840,30720
2.6240075,-0.018233052287250757,-0.35312164,0.11839484088122845,81.04,-1.82,85.99,-2.15,0.40609626601093374,814,384,16.0,4096,32768
2.6350455,-0.018400944913737477,-0.23358418,0.11909138053655624,81.88,-1.87,87.52,-2.28,0.17926161861299628,810,408,17.0,4352,34816
2.634257,-0.019884953699074684,-0.2565611,0.11721804253757,78.41,-1.78,84.03,-2.5,0.4459896943302445,811,432,18.0,4608,36864
2.5991552,-0.01890711728017777,-0.4009878,0.1322039530426264,82.68,-2.15,84.3,-2.55,0.4204465741166412,813,456,19.0,4864,38912
2.5951455,-0.01844194429460913,-0.3427954,0.12151315592229367,82.53,-1.6,83.44,-2.4,0.40185429136360096,814,480,20.0,5120,40960
2.6083248,-0.020745050734840332,-0.19923948,0.11699493490159511,82.18,-1.55,81.64,-2.39,0.3786975225481817,812,504,21.0,5376,43008
2.5751169,-0.02276860212907195,-0.23985788,0.11274264387786388,83.98,-1.55,83.74,-2.21,0.4296439142227876,817,528,22.0,5632,45056
2.566992,-0.02222738347016275,-0.2296386,0.11601155929267407,82.42,-1.23,84.59,-2.4,0.30846964149935563,820,552,23.0,5888,47104
2.5540323,-0.025087534515187145,-0.38312626,0.12432068757712841,83.99,-1.9,86.55,-2.34,0.45643441942167706,816,576,24.0,6144,49152
2.5150669,-0.026954090464860202,-0.43818477,0.12746448658406734,82.09,-1.96,87.75,-2.22,0.2871731045797652,816,600,25.0,6400,51200
2.5253322,-0.024593761693686246,-0.44188613,0.14351894602179527,81.52,-2.02,85.76,-2.39,0.24529888784010823,809,624,26.0,6656,53248
2.5052118,-0.0246296442579478,-0.3842792,0.1371829294413328,81.09,-2.0,83.11,-1.74,0.2947986722547751,814,648,27.0,6912,55296
2.535919,-0.023740238342434168,-0.27961707,0.13344267413020133,82.08,-1.87,82.75,-1.47,0.299506887208404,815,672,28.0,7168,57344
2.5223916,-0.025409961557015776,-0.34596226,0.13150812342762946,81.72,-1.71,81.02,-1.57,0.2940449300031883,812,696,29.0,7424,59392
2.5126064,-0.024883734909817577,-0.2997468,0.12985778406262397,80.62,-1.74,81.53,-1.39,0.4086551941664538,810,720,30.0,7680,61440
2.4844604,-0.02659179750829935,-0.13290595,0.11774790778756142,84.23,-1.44,84.57,-1.52,0.23207197057410456,809,744,31.0,7936,63488
2.5372622,-0.02739140803925693,-0.15542306,0.12075510114431381,87.8,-1.4,81.07,-1.72,0.3565456680442537,811,768,32.0,8192,65536
2.5280793,-0.027568071531131864,-0.15911327,0.11621344119310378,87.9,-1.37,81.85,-1.45,0.3355306697372189,814,792,33.0,8448,67584
2.5397804,-0.026544519523158668,-0.055824347,0.11263585597276687,87.02,-1.55,83.46,-1.02,0.34182270065745846,810,816,34.0,8704,69632
2.4995117,-0.02834618227556348,-0.16088375,0.1032736162096262,88.19,-1.22,83.15,-0.86,0.24217065955651407,812,840,35.0,8960,71680
2.5003626,-0.0300530562736094,-0.1610062,0.09142074424773455,83.42,-1.05,84.57,-0.82,0.33041227021796016,813,864,36.0,9216,73728
2.5232098,-0.030200059656053782,-0.24577804,0.09556092720478773,83.49,-0.86,84.81,-1.2,0.2223757539428871,808,888,37.0,9472,75776
2.5057344,-0.02931719490326941,-0.026419127,0.11105558302253485,86.11,-1.13,84.9,-1.44,0.23674932421005068,810,912,38.0,9728,77824
2.4694583,-0.0305019096378237,-0.2539043,0.11997120428830385,82.43,-1.36,81.96,-1.58,0.25027126144509715,810,936,39.0,9984,79872
2.4921083,-0.031185006964951755,-0.35588574,0.1267131194099784,83.23,-1.41,82.0,-1.58,0.3927232320893912,813,960,40.0,10240,81920
2.456794,-0.03065748590044677,-0.2680992,0.11865953803062439,82.86,-1.29,80.73,-1.24,0.4700254461223161,811,984,41.0,10496,83968
2.4389186,-0.031440381817519666,-0.3789077,0.10045275837182999,79.38,-0.88,82.12,-1.38,0.3638382738693816,811,1008,42.0,10752,86016
2.4223335,-0.03224679490551353,-0.24364047,0.09881926640868187,80.29,-0.96,84.76,-1.53,0.39203993848498897,808,1032,43.0,11008,88064
2.433412,-0.03094809077680111,-0.17522195,0.08919390447437764,79.62,-0.89,82.23,-1.49,0.3619350618412259,806,1056,44.0,11264,90112
2.4221778,-0.03124155441299081,-0.025632162,0.1104963305220008,80.71,-1.23,79.19,-1.34,0.4328909952382043,807,1080,45.0,11520,92160
2.3653028,-0.032100019990466536,-0.11536431,0.10716735806316137,80.84,-1.35,76.38,-1.42,0.49741892677772515,811,1104,46.0,11776,94208
2.3614516,-0.030331271761097015,-0.053865444,0.10512090381234884,81.27,-1.23,75.4,-0.97,0.4120793214318801,813,1128,47.0,12032,96256
2.2783005,-0.0321932148328051,-0.23681025,0.10721889287233352,78.93,-1.2,76.05,-0.93,0.5554058131428747,808,1152,48.0,12288,98304
2.2415204,-0.03193969285581261,-0.25383103,0.09682117607444525,76.73,-0.87,77.8,-1.05,0.4883349381187698,809,1176,49.0,12544,100352
2.245164,-0.029776934632100165,-0.08066585,0.09450228326022625,77.43,-0.72,77.53,-0.86,0.443806024734656,810,1200,50.0,12800,102400
2.13041,-0.03209998034872115,-0.14306305,0.09999540604650975,78.02,-0.82,78.19,-0.93,0.48403044711625465,812,1224,51.0,13056,104448
2.104301,-0.029040268966928125,-0.27384004,0.10367627307772637,80.41,-1.06,78.46,-0.76,0.5979169297996951,809,1248,52.0,13312,106496
2.000098,-0.030396257769316436,-0.050323147,0.097497175373137,78.75,-0.79,75.55,-0.75,0.3684221910388946,808,1272,53.0,13568,108544
2.0913634,-0.02842894864268601,-0.34233072,0.09694365937262774,78.74,-0.88,75.1,-1.2,0.5336536944774137,809,1296,54.0,13824,110592
2.0251968,-0.02855632834136486,-0.30418178,0.10140168316662311,76.58,-0.92,70.83,-1.21,0.45395502144464706,805,1320,55.0,14080,112640
2.0684872,-0.029636749317869544,-0.2731485,0.09533639937639236,77.64,-0.91,72.78,-1.3,0.547118670357116,811,1344,56.0,14336,114688
2.1324928,-0.028673418955877425,-0.09648036,0.09097532462328672,76.59,-1.0,73.73,-0.82,0.5551398181649926,810,1368,57.0,14592,116736
2.1543648,-0.028328511686995624,-0.15141188,0.09150530979037284,75.62,-0.62,71.57,-0.61,0.5327495306984136,811,1392,58.0,14848,118784
2.1207616,-0.029917789651080967,-0.1660972,0.08358035881072283,74.9,-0.51,70.87,-0.75,0.3913220885735067,806,1416,59.0,15104,120832
2.1222565,-0.029140711342915893,-0.112293944,0.09281692925840616,75.03,-0.59,73.93,-0.56,0.4833343946158237,810,1440,60.0,15360,122880
2.1039503,-0.02964333071373403,-0.19327185,0.10046395309269428,75.96,-0.98,74.63,-0.84,0.413643468789759,816,1464,61.0,15616,124928
2.0989575,-0.02836264788173139,0.017493306,0.10478585533797741,77.34,-1.14,76.79,-0.94,0.2147168707028828,815,1488,62.0,15872,126976
2.1118557,-0.028461859729140997,-0.12300824,0.09991986937820911,79.02,-1.02,77.16,-1.14,0.4948626475338703,815,1512,63.0,16128,129024
2.2166777,-0.030010661501437427,-0.027239736,0.09273972477763891,81.38,-0.68,80.14,-1.37,0.29410085547137255,812,1536,64.0,16384,131072
2.148989,-0.02916945827193558,-0.108290896,0.09289604298770428,84.53,-0.82,79.98,-1.11,0.28866093784838487,815,1560,65.0,16640,133120
2.2589595,-0.03117739546112716,-0.10838864,0.09172460932284593,87.34,-0.72,78.96,-1.11,0.3857229777407938,816,1584,66.0,16896,135168
2.1956108,-0.031559560364112255,-0.10141487,0.08902973063290119,84.94,-0.69,77.62,-0.9,0.45945616077869733,815,1608,67.0,17152,137216
2.1714892,-0.030580054046586157,-0.05992339,0.0899247470498085,85.27,-0.87,73.36,-0.99,0.4264956338529158,811,1632,68.0,17408,139264
2.1910994,-0.032964532277546824,-0.27019936,0.0879455578699708,81.86,-0.87,72.8,-0.74,0.5707500754250352,809,1656,69.0,17664,141312
2.1902552,-0.0337467534141615,-0.19701761,0.0850935547426343,80.44,-0.61,72.31,-0.67,0.4989381678967705,812,1680,70.0,17920,143360
2.1867883,-0.03378195267636329,0.038881414,0.09640712827444077,79.71,-0.82,76.0,-0.69,0.5483843953338488,816,1704,71.0,18176,145408
2.2126927,-0.035764284753240644,-0.038104054,0.09503921948373317,79.69,-0.93,78.02,-0.58,0.5738149374036494,810,1728,72.0,18432,147456
2.1719422,-0.03392389842309058,-0.017638037,0.10168117862194777,80.9,-0.97,79.3,-1.05,0.3027081799043705,812,1752,73.0,18688,149504
2.1569068,-0.034883181042969225,-0.2773472,0.10402586251497269,81.07,-1.08,80.7,-0.89,0.5361937386215558,813,1776,74.0,18944,151552
2.215139,-0.034426519349217415,-0.015055211,0.1129622982442379,82.15,-1.25,81.78,-0.77,0.30124252658525497,812,1800,75.0,19200,153600
2.2346692,-0.032709813211113214,0.016309444,0.10723702840507031,80.16,-0.93,78.07,-0.7,0.24347496294568116,809,1824,76.0,19456,155648
2.0705597,-0.03320541541092098,-0.120690234,0.0927874455600977,79.04,-0.96,79.26,-0.32,0.6388233007668711,810,1848,77.0,19712,157696
2.2168546,-0.03396625128574669,-0.052782,0.0896320378407836,77.04,-1.0,78.92,-0.49,0.44081498484593884,811,1872,78.0,19968,159744
2.0347607,-0.034317738777026534,-0.11700389,0.08569455821067094,77.84,-0.93,78.35,-0.4,0.5258219491182777,816,1896,79.0,20224,161792
2.1910963,-0.03381201174110174,0.00959824,0.08095685094594955,77.08,-0.96,80.0,-0.56,0.5008702882912819,815,1920,80.0,20480,163840
2.122628,-0.03420594641938805,-0.09356576,0.08633788146078586,75.39,-0.76,78.29,-0.71,0.38127904006703617,810,1944,81.0,20736,165888
2.1743708,-0.033856496349908415,0.011646141,0.08702276941388845,76.73,-0.75,80.46,-0.78,0.2021965446530981,805,1968,82.0,20992,167936
2.1142056,-0.03375363294500858,0.08830176,0.07970228306949138,74.76,-0.48,78.98,-1.04,0.39314444276654226,811,1992,83.0,21248,169984
2.0818424,-0.03406264267396182,0.030022776,0.0845299806445837,76.67,-0.51,79.5,-0.82,0.42025038846401064,810,2016,84.0,21504,172032
2.053305,-0.03394553372170776,0.11112064,0.08085077106952668,78.33,-0.46,81.13,-0.63,0.20736240879136103,810,2040,85.0,21760,174080
2.1810224,-0.031429640930145976,0.0192097,0.08074295546859503,78.99,-0.26,78.54,-0.72,0.14451284363245676,811,2064,86.0,22016,176128
2.2271905,-0.03446690168231726,0.1689962,0.07147639568895102,80.62,-0.21,78.88,-0.6,0.17077596433677145,809,2088,87.0,22272,178176
2.2589629,-0.033103235019370916,0.015870368,0.07833452429622412,78.47,-0.39,78.41,-0.76,0.42822543099012855,810,2112,88.0,22528,180224
2.186318,-0.032497977251186964,-0.0908123,0.09152210559695959,79.0,-0.59,75.71,-0.82,0.23970118485625858,812,2136,89.0,22784,182272
2.2232163,-0.031830359380692244,0.018004114,0.09599749580025672,76.86,-0.63,74.4,-0.66,0.32732971453314474,804,2160,90.0,23040,184320
2.2410288,-0.034497607415542,-0.14512555,0.10011339865624905,76.04,-0.71,75.79,-0.64,0.4091175375125047,804,2184,91.0,23296,186368
2.2585843,-0.035153073919937015,-0.19457613,0.09520682450383902,73.74,-0.57,74.59,-0.36,0.2539056394254865,804,2208,92.0,23552,188416
2.2619083,-0.033848011940717695,-0.061404496,0.08904199045151472,75.54,-0.57,75.33,-0.27,0.36966050835435227,810,2232,93.0,23808,190464
2.300612,-0.03410977391526103,-0.025536645,0.08384492360055447,77.61,-0.64,75.7,-0.18,0.4689390666689782,812,2256,94.0,24064,192512
2.2183988,-0.036072765029966834,-0.18910208,0.08205953182652592,78.52,-0.65,75.68,-0.23,0.4865280619372556,811,2280,95.0,24320,194560
2.2087753,-0.03347414172254503,0.03198881,0.08399476321414114,82.55,-0.74,78.04,-0.52,0.31953365610448525,805,2304,96.0,24576,196608
2.2688396,-0.03586577787064016,0.06570123,0.08159520724788308,83.44,-0.72,77.59,-0.69,0.39474852567792806,811,2328,97.0,24832,198656
2.2025073,-0.037313843062147495,0.024472969,0.08877562722191215,81.58,-0.61,75.02,-0.96,0.45388335102192234,811,2352,98.0,25088,200704
2.2426698,-0.03587473962455988,-0.07827709,0.09225638631731271,83.9,-0.82,75.77,-0.66,0.4655281650424751,811,2376,99.0,25344,202752
2.1650708,-0.03710409593768418,-0.25963393,0.10663398273289204,83.31,-0.98,78.02,-1.27,0.3741398363064433,809,2400,100.0,25600,204800
2.2625096,-0.03910483412444592,-0.065935284,0.1101842476055026,80.53,-0.86,79.26,-1.22,0.3839121034643671,808,2424,101.0,25856,206848
2.1313422,-0.037886455040425066,-0.096594706,0.1029924701154232,82.16,-0.79,79.74,-1.1,0.5393403336226918,811,2448,102.0,26112,208896
2.157644,-0.03619840603321791,-0.040828254,0.09964120246469975,78.02,-0.72,78.63,-1.11,0.5588170312975798,812,2472,103.0,26368,210944
2.1610894,-0.03950289654545486,-0.09978519,0.0950072654336691,78.19,-0.71,74.67,-0.91,0.454942908663885,812,2496,104.0,26624,212992
2.1578183,-0.03531702169217169,-0.0730781,0.09090763114392758,79.04,-0.8,75.2,-0.83,0.475975094051854,811,2520,105.0,26880,215040
2.0725784,-0.03695326438173652,-0.07586848,0.08710499055683613,77.94,-0.58,75.98,-0.7,0.6154689721991267,813,2544,106.0,27136,217088
2.0602314,-0.038394930949434636,0.006558747,0.08388682179152966,78.08,-0.65,79.18,-0.82,0.3537908798354491,813,2568,107.0,27392,219136
1.9369104,-0.03754502097144723,-0.0099556735,0.07390831366181373,76.64,-0.35,80.84,-0.69,0.5021698751992454,811,2592,108.0,27648,221184
1.9909502,-0.035290381577797236,-0.20714957,0.07813316121697426,77.77,-0.41,82.89,-0.62,0.42237876244992945,809,2616,109.0,27904,223232
2.0357015,-0.03306736801285297,-0.18381745,0.08344575691968202,78.45,-0.43,82.1,-0.7,0.4452329521268471,810,2640,110.0,28160,225280
2.0484147,-0.032532670092768966,-0.10036359,0.08800264168530703,78.04,-0.45,79.74,-0.62,0.41726746912153134,810,2664,111.0,28416,227328
1.9642872,-0.030583264022134245,-0.060458016,0.09130607340484857,78.84,-0.61,81.21,-0.94,0.48713337419695923,807,2688,112.0,28672,229376
1.9220426,-0.03245815479196608,-0.066378884,0.07805019192397594,78.01,-0.53,81.11,-0.94,0.39086750463059905,805,2712,113.0,28928,231424
2.061392,-0.03356733079999685,-0.1570628,0.07488533638417721,76.44,-0.6,79.81,-0.86,0.31259731427271586,806,2736,114.0,29184,233472
2.106578,-0.03219369939994067,-0.1247187,0.06923839114606381,75.0,-0.58,77.65,-0.72,0.4348729431780458,803,2760,115.0,29440,235520
2.0803347,-0.031779983467422425,0.10639321,0.06912571787834168,76.09,-0.65,76.4,-0.59,0.3985418117689252,810,2784,116.0,29696,237568
2.019881,-0.03345020253676921,0.046934765,0.08306570738554,77.27,-0.95,74.91,-0.32,0.3781425656065308,805,2808,117.0,29952,239616
2.0082028,-0.031722436542622745,-0.10766431,0.09837238367646933,79.22,-0.78,75.79,-0.28,0.40188507225123715,803,2832,118.0,30208,241664
2.1512291,-0.03572814911138266,-0.010090981,0.09716861613094807,82.36,-0.79,76.21,-0.42,0.31960897357848317,798,2856,119.0,30464,243712
2.070817,-0.03312495658174157,-0.09514706,0.094801643230021,84.71,-0.4,77.64,-0.45,0.5168761643862672,806,2880,120.0,30720,245760
2.1301792,-0.035755255334079264,0.08532766,0.09282803602516651,81.66,-0.24,80.92,-1.0,0.4212471756997582,806,2904,121.0,30976,247808
2.1507552,-0.033951301565393804,-0.14936705,0.09045562207698822,80.36,-0.61,80.67,-0.89,0.47845592794186387,814,2928,122.0,31232,249856
2.1948447,-0.03316136287525296,0.01080485,0.08642956513911486,79.29,-0.57,82.89,-0.87,0.5186899429530827,812,2952,123.0,31488,251904
2.069348,-0.03436667519621551,-0.08428057,0.08687265228480101,79.65,-0.54,84.15,-1.07,0.3051744161408326,813,2976,124.0,31744,253952
2.1044633,-0.036645878572016954,-0.0070347595,0.07375715039670468,82.16,-0.42,81.35,-0.74,0.5487408561803206,811,3000,125.0,32000,256000
2.0548325,-0.037438978301361205,-0.19332749,0.06215698424726725,83.1,-0.03,80.42,-0.65,0.3765492949156688,809,3024,126.0,32256,258048
2.0363483,-0.037657827972434464,-0.0048693814,0.06718244325369596,82.39,-0.25,80.9,-0.81,0.40326326840804516,808,3048,127.0,32512,260096
1.9000732,-0.03753058041911572,-0.14473154,0.07042814765125513,80.79,-0.33,77.79,-0.96,0.24721172129822555,807,3072,128.0,32768,262144
2.055605,-0.03514818396884948,-0.18631639,0.07984544279053807,81.01,-0.47,78.46,-1.02,0.39963310225609316,814,3096,129.0,33024,264192
1.9809444,-0.034992161537520584,-0.28023925,0.08269754495471716,80.51,-0.53,79.37,-1.03,0.29159707742016516,811,3120,130.0,33280,266240
2.0070186,-0.03380835660733283,-0.11712179,0.07935590948909521,79.3,-0.37,77.92,-0.56,0.41821652993904546,811,3144,131.0,33536,268288
2.059696,-0.035321592753753066,-0.091667615,0.08074121184647083,78.81,-0.29,78.11,-0.43,0.4747495912739661,810,3168,132.0,33792,270336
2.0978858,-0.034607617571018635,-0.14765842,0.07095854220911861,78.36,-0.21,77.97,-0.41,0.3407128180958138,803,3192,133.0,34048,272384
2.1386237,-0.035477344109676776,-0.049275193,0.08658223560079932,78.82,-0.3,75.6,-0.47,0.3376165422727846,804,3216,134.0,34304,274432
2.07621,-0.03618748782668263,0.0838155,0.08430537769570946,80.65,-0.22,75.99,-0.59,0.40844184775144665,811,3240,135.0,34560,276480
2.0400152,-0.03634917213115841,-0.14684816,0.08222581231966615,83.76,-0.08,76.0,-0.53,0.5273469178279175,809,3264,136.0,34816,278528
2.1024175,-0.037296776985749604,0.099315554,0.1049833189509809,80.71,-0.31,78.51,-0.47,0.2998678037801896,809,3288,137.0,35072,280576
2.0340445,-0.03665210288949311,0.0009580078,0.09644497331231833,82.94,-0.36,80.76,-0.1,0.47054846174605014,812,3312,138.0,35328,282624
2.0949838,-0.03663671907037497,-0.04373874,0.09015492182224989,82.64,-0.36,82.39,-0.09,0.31537025312109956,810,3336,139.0,35584,284672
1.9923135,-0.033517524637281894,-0.0033218537,0.10172808069735766,80.12,-0.56,81.64,-0.2,0.27032520509235414,807,3360,140.0,35840,286720
2.0966473,-0.0327200336009264,0.18729438,0.09298212457448245,80.37,-0.35,85.93,-0.4,0.45992479500011374,804,3384,141.0,36096,288768
2.1333005,-0.031621684823185205,0.19842066,0.08306948307901621,79.18,0.02,83.49,-0.45,0.3904988285261535,810,3408,142.0,36352,290816
