average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.00020477854801962772,0.07548005,0.32705046236515045,69.21739130434783,-2.347826,81.21052631578948,-3.0,0.0002038996929755177,824,24,1.0,256,2048
2.7078745,-0.0004553718220752974,-0.10437616,0.2143081521304945,81.1304347826087,-3.5217392,82.46666666666667,-2.9333334,0.004999939588604341,836,48,2.0,512,4096
2.706856,-0.0018348967164961828,-0.2239555,0.17468034186296993,81.40579710144928,-3.057971,83.6470588235294,-2.5441177,0.006303388855025793,836,72,3.0,768,6144
2.6972802,-0.002605789137305692,-0.2124244,0.17207793922473988,82.68478260869566,-3.1630435,85.19354838709677,-2.7419355,0.024080612612135677,831,96,4.0,1024,8192
2.6720903,-0.005592440962791443,-0.4653167,0.1134788579121232,84.8,-3.18,83.92,-2.39,0.07864533728046907,828,120,5.0,1280,10240
2.6628406,-0.006768550276756286,-0.49260247,0.09824411749839783,80.21,-2.33,82.98,-2.33,0.17234782360634504,826,144,6.0,1536,12288
2.6470928,-0.006230047307908535,-0.4118689,0.10251029528677463,76.76,-2.26,82.88,-2.54,0.23182406334110106,830,168,7.0,1792,14336
2.6514707,-0.0047996654454618695,-0.47714838,0.08797001048922538,72.8,-1.67,80.94,-2.29,0.3147061234062881,828,192,8.0,2048,16384
2.6704137,-0.006532363956794142,-0.42953393,0.09120692759752273,74.02,-1.94,81.38,-2.44,0.2698544437902267,816,216,9.0,2304,18432
2.6741064,-0.00847546439152211,-0.50329643,0.10623391881585122,75.38,-2.44,81.86,-2.78,0.32560980639188,813,240,10.0,2560,20480
2.6681988,-0.00947670337278396,-0.47964492,0.10585561159998179,76.42,-2.37,80.81,-2.54,0.33715732298057544,829,264,11.0,2816,22528
2.659012,-0.01133748256135732,-0.45193934,0.09675222672522069,78.06,-2.37,80.37,-2.6,0.49366888798637987,833,288,12.0,3072,24576
2.6409597,-0.014496080898679794,-0.28343225,0.09524905353784562,77.88,-2.22,82.42,-2.38,0.4110640354746723,823,312,13.0,3328,26624
2.6586816,-0.015924493474885823,-0.276707,0.08508814062923192,78.67,-1.64,84.39,-1.74,0.3198004335651742,814,336,14.0,3584,28672
2.6456544,-0.015862064911052586,-0.27145416,0.07661123856902123,81.6,-1.34,82.51,-1.89,0.33900891197882044,829,360,15.0,3840,30720
2.6082861,-0.01912706592353061,-0.35046655,0.07603123892098665,83.35,-1.14,81.32,-1.9,0.3039077072990992,822,384,16.0,4096,32768
2.613038,-0.020192594651598485,-0.15545397,0.07537578210234643,81.39,-0.98,81.88,-1.78,0.27342655406633654,828,408,17.0,4352,34816
2.5862923,-0.020886517690960317,-0.24575299,0.08221271887421608,80.08,-0.98,82.76,-1.93,0.2790379853442445,823,432,18.0,4608,36864
2.5889962,-0.022316345444414763,-0.18318723,0.07511551629751921,75.37,-0.89,86.95,-1.94,0.3397696964820388,803,456,19.0,4864,38912
2.5912714,-0.022773682698607446,-0.13491087,0.07845056880265475,72.23,-0.86,87.46,-1.91,0.40650222145507997,791,480,20.0,5120,40960
2.5517278,-0.023000883227214216,-0.14623848,0.08156473245471715,72.74,-0.99,85.79,-1.85,0.4637996131209209,809,504,21.0,5376,43008
2.6219342,-0.02411738334223628,-0.06217364,0.07366938937455415,73.19,-0.86,84.36,-2.02,0.4291973492190342,824,528,22.0,5632,45056
2.5984428,-0.023316961536183952,-0.15709415,0.08057928655296565,78.07,-1.27,81.89,-1.75,0.3002450271123208,819,552,23.0,5888,47104
2.6201944,-0.023491757875308394,-0.124000244,0.08673516109585762,82.47,-1.44,79.08,-1.59,0.4353217960604615,813,576,24.0,6144,49152
2.5669425,-0.026738623259589075,-0.3194399,0.08362787742167711,80.67,-1.51,79.2,-1.61,0.43888775571809235,804,600,25.0,6400,51200
2.5343955,-0.025652986401692033,-0.22695857,0.08195340048521757,83.05,-1.55,78.32,-1.31,0.13449629398697605,813,624,26.0,6656,53248
2.5531332,-0.02618569971062243,-0.2647174,0.07842833861708641,79.39,-1.59,79.36,-1.64,0.5065677192499436,819,648,27.0,6912,55296
2.5824542,-0.027868780456483364,-0.12752816,0.0750670612603426,79.75,-1.32,81.02,-1.83,0.40440480206895335,801,672,28.0,7168,57344
2.556024,-0.02749420266598463,-0.35849994,0.08157122369855642,82.2,-0.97,81.51,-1.61,0.2912673790598337,807,696,29.0,7424,59392
2.5680091,-0.025856667719781398,-0.21850578,0.09677278153598308,82.38,-1.28,80.54,-2.13,0.37315573767131494,804,720,30.0,7680,61440
2.5030499,-0.02880377166904509,-0.11063594,0.09643483180552721,79.25,-1.1,80.36,-1.75,0.5033072390489894,777,744,31.0,7936,63488
2.4927902,-0.028944301409646867,-0.11780576,0.10013729959726334,73.52,-1.32,81.58,-1.3,0.5712669620317075,778,768,32.0,8192,65536
2.4546955,-0.029622199004516004,-0.273851,0.10040997982025146,76.93,-1.47,81.31,-1.83,0.44447095399664793,790,792,33.0,8448,67584
2.482999,-0.02727940213866532,-0.3855846,0.09613440304994583,76.73,-1.34,82.22,-1.45,0.40425293257564343,800,816,34.0,8704,69632
2.433575,-0.029483170360326768,-0.3752708,0.09772627085447311,79.6,-1.57,83.6,-1.88,0.48255231783621,803,840,35.0,8960,71680
2.510052,-0.028862592140212653,-0.23760135,0.09417228441685438,81.59,-1.62,83.48,-2.03,0.3589058774107575,809,864,36.0,9216,73728
2.5249465,-0.028689367501065134,-0.17339998,0.09588786400854588,81.71,-1.47,83.6,-1.69,0.3560603477669514,789,888,37.0,9472,75776
2.5031497,-0.030831352816894652,-0.11376795,0.08917885944247246,79.25,-1.16,84.88,-1.5,0.4645100092664547,792,912,38.0,9728,77824
2.4967132,-0.028943576952442526,-0.109261274,0.082641894929111,75.72,-1.08,82.0,-1.11,0.29660700070591406,796,936,39.0,9984,79872
2.4766717,-0.028595797601155937,-0.18235797,0.09083782702684402,76.76,-1.02,82.0,-1.26,0.3202467773961404,785,960,40.0,10240,81920
2.4569955,-0.030033471430651843,-0.14633837,0.0929567490145564,72.66,-1.39,80.57,-1.61,0.3287711139607097,791,984,41.0,10496,83968
2.4796457,-0.029722129493020475,-0.12974223,0.08971714325249196,73.91,-1.26,78.46,-1.82,0.2543716283525438,798,1008,42.0,10752,86016
2.407611,-0.03060123206116259,-0.2895442,0.0933350196480751,73.12,-1.1,76.85,-1.49,0.43728617233100053,806,1032,43.0,11008,88064
2.3878887,-0.029483071281574666,-0.23268649,0.09630072295665741,74.95,-1.14,74.28,-1.19,0.475890153626467,810,1056,44.0,11264,90112
2.416185,-0.028467929544858633,-0.14244595,0.09112332481890917,75.02,-0.96,77.35,-0.85,0.2428327354721328,793,1080,45.0,11520,92160
2.4300807,-0.026889744973741473,-0.17359796,0.09652758724987506,77.52,-0.95,77.63,-1.27,0.31396458799960136,815,1104,46.0,11776,94208
2.393189,-0.02647978849709034,-0.21436124,0.1052242087200284,83.21,-1.18,80.34,-1.64,0.32071078214189963,783,1128,47.0,12032,96256
2.4082901,-0.027621147399768235,-0.1517851,0.11031676482409239,81.31,-1.25,84.05,-1.74,0.2900662668043906,784,1152,48.0,12288,98304
2.4406934,-0.028545464035123588,-0.25245583,0.10327659565955401,80.66,-1.02,83.33,-1.69,0.5155402486278247,815,1176,49.0,12544,100352
2.414172,-0.029641978908330202,-0.080280855,0.1027073223516345,76.82,-1.08,83.14,-1.3,0.42046819276509695,823,1200,50.0,12800,102400
2.384524,-0.03180213512852788,-0.15506464,0.08935122940689326,74.66,-1.04,83.48,-1.46,0.4694345470338931,826,1224,51.0,13056,104448
2.3034635,-0.03203261892311275,-0.118942365,0.07636429816484451,75.98,-0.9,79.99,-1.33,0.4386771050998739,820,1248,52.0,13312,106496
2.3958764,-0.029405203899368643,0.025542827,0.08175912454724311,78.55,-1.14,77.18,-1.0,0.5815312690230011,821,1272,53.0,13568,108544
2.3065286,-0.031171849854290487,-0.18299024,0.0895344627648592,79.2,-1.2,78.51,-1.03,0.44479878325992184,821,1296,54.0,13824,110592
2.2135873,-0.031906620291993024,-0.1643462,0.08642443098127842,80.04,-0.82,76.25,-0.69,0.19643615486788146,822,1320,55.0,14080,112640
2.2038183,-0.029966792366467418,-0.18384424,0.08648812100291252,78.54,-0.9,77.74,-0.74,0.31619505804690595,808,1344,56.0,14336,114688
2.3116782,-0.03176752895582467,-0.121999145,0.08393192786723375,75.23,-0.61,79.57,-0.89,0.37002908543312196,812,1368,57.0,14592,116736
2.2943661,-0.031555110644549134,-0.0012113113,0.0765084533765912,72.76,-0.6,77.12,-0.93,0.5120399902924386,812,1392,58.0,14848,118784
2.268776,-0.03059423727914691,-0.21948743,0.0778865523636341,73.72,-0.79,79.63,-0.92,0.4102904681061753,818,1416,59.0,15104,120832
2.2964208,-0.0335286753391847,-0.1160337,0.0732782594114542,78.57,-0.61,79.43,-0.74,0.4973368368016572,819,1440,60.0,15360,122880
2.287756,-0.03339790233410895,-0.20137607,0.07486408807337284,81.43,-0.37,80.01,-1.01,0.44658362010368036,786,1464,61.0,15616,124928
2.3480093,-0.03405105700250715,-0.11840151,0.06742803201079368,82.25,-0.09,80.7,-1.17,0.5414350275690056,799,1488,62.0,15872,126976
2.3579054,-0.030891029420308767,-0.028087083,0.06775780193507672,80.32,-0.02,80.65,-1.09,0.30790590593985623,806,1512,63.0,16128,129024
2.271067,-0.03138460345100611,-0.009755428,0.07263113893568515,78.9,-0.19,79.64,-1.43,0.46273676435644673,812,1536,64.0,16384,131072
2.324073,-0.032330796690657734,0.033571858,0.06588391929864884,80.76,-0.41,77.99,-0.8,0.5131795104099697,793,1560,65.0,16640,133120
2.2931557,-0.03223674838431179,-0.026443832,0.07959492601454259,81.03,-0.82,76.94,-0.38,0.4624488379763917,791,1584,66.0,16896,135168
