average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0014287113832930725,-0.013038888,0.46401912719011307,74.34782608695652,-1.9130435,85.0,-2.4545455,0.0015944774152500951,814,24,1.0,256,2048
2.7070422,-0.0006521968559051553,-0.16961364,0.33062377106398344,79.43478260869566,-2.3043478,81.22727272727273,-2.1136363,0.022548020244585576,828,48,2.0,512,4096
2.7074296,-0.0008623702451586723,-0.1641717,0.26760969693875974,84.17391304347827,-2.463768,83.45714285714286,-2.3857143,0.0939050899905447,826,72,3.0,768,6144
2.7057767,-0.0025585614105996988,-0.31770104,0.22825117285052934,79.94949494949495,-1.919192,82.45744680851064,-2.6595745,0.13658973809582475,825,96,4.0,1024,8192
2.6932812,-0.003941819779574871,-0.27882597,0.16675202667713165,81.72,-2.11,82.47,-2.65,0.11542736442926671,827,120,5.0,1280,10240
2.6841867,-0.004946795413270593,-0.16402552,0.1363637414574623,78.7,-1.77,81.72,-3.04,0.2547848077044408,824,144,6.0,1536,12288
2.66877,-0.005873350575566292,-0.320666,0.1407872012257576,78.1,-1.69,80.6,-2.93,0.11306148042135167,825,168,7.0,1792,14336
2.6646423,-0.005664318762719631,-0.3713699,0.14865651428699495,78.77,-1.9,82.03,-2.71,0.22642098164118873,831,192,8.0,2048,16384
2.653325,-0.006852455968037248,-0.4322863,0.12841856006532906,78.78,-1.5,81.03,-2.45,0.40166739137069574,818,216,9.0,2304,18432
2.6807213,-0.007262826347723603,-0.357928,0.12312418881803751,78.11,-1.39,81.78,-2.07,0.3272742479998353,822,240,10.0,2560,20480
2.6755624,-0.006996299643069506,-0.34347674,0.1010765515267849,78.41,-1.09,82.6,-2.03,0.25551090163603674,814,264,11.0,2816,22528
2.66461,-0.00936437706463039,-0.27592966,0.09786493346095085,81.37,-0.94,84.09,-1.66,0.21081364771684696,803,288,12.0,3072,24576
2.6608245,-0.009871653569862247,-0.3452239,0.10777202494442463,78.43,-1.24,81.39,-2.03,0.4467573874284797,825,312,13.0,3328,26624
2.6711497,-0.012247515600174666,-0.1674025,0.11322072390466928,78.68,-1.29,84.46,-2.24,0.39024246081005676,785,336,14.0,3584,28672
2.659148,-0.013605851801112295,-0.37980458,0.12996056273579598,77.17,-1.68,85.93,-2.19,0.3934477543243996,807,360,15.0,3840,30720
2.6396058,-0.016730993930250408,-0.4298864,0.129474308937788,76.14,-1.52,87.03,-2.67,0.3667837978788,789,384,16.0,4096,32768
2.6147847,-0.01757618961855769,-0.42334357,0.14528162479400636,78.79,-1.61,85.96,-2.31,0.4711907387972325,813,408,17.0,4352,34816
2.6114862,-0.01811418323777616,-0.53126025,0.1358145209401846,79.72,-1.54,86.1,-2.25,0.5342682974346611,800,432,18.0,4608,36864
2.6229398,-0.02090908664278686,-0.3337769,0.12343684796243906,81.11,-1.36,86.5,-2.15,0.4215962081687207,798,456,19.0,4864,38912
2.5944755,-0.02080620392225683,-0.42863253,0.11508284468203783,81.29,-1.62,83.76,-1.71,0.4780566258918739,818,480,20.0,5120,40960
2.6277897,-0.022250087289139627,-0.1717609,0.09195209816098213,82.94,-1.35,82.05,-1.95,0.42638960689374095,821,504,21.0,5376,43008
2.6319244,-0.022343223839998247,-0.011031143,0.08957628589123487,83.05,-1.34,76.35,-1.76,0.2808500663753293,821,528,22.0,5632,45056
2.627578,-0.023020795164629817,-0.05289787,0.0827103828266263,80.36,-0.97,77.17,-1.66,0.28052679116510115,821,552,23.0,5888,47104
2.598851,-0.020798857137560845,-0.05310148,0.08551588166505099,78.66,-0.86,79.47,-1.43,0.27230492121810845,824,576,24.0,6144,49152
2.5689762,-0.020647017052397132,-0.110306576,0.10966053314507007,77.92,-1.03,80.83,-1.21,0.35106148346876653,825,600,25.0,6400,51200
2.593019,-0.020324922036379575,-0.054246932,0.10357310071587562,75.39,-0.95,83.25,-1.53,0.45516900957324924,824,624,26.0,6656,53248
